步骤 	 符号栈 	 产生式 
240 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec) 	 FunDec-><ID> CreateFunTable_m ( VarList ) 
241 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m) 	 Block_m->@ 
242 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{) 	 
243 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(3,float) 	 
244 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier) 	 Specifier->float 
245 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(27,<ID>) 	 
246 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(27,<ID>)(43,=) 	 
247 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(27,<ID>)(43,=)(31,<FLOAT>) 	 
248 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(27,<ID>)(43,=)(75,Exp) 	 Exp-><FLOAT> 
249 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(28,Dec) 	 Dec-><ID> = Exp 
250 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(21,Specifier)(28,Dec)(44,;) 	 
251 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def) 	 Def->Specifier Dec ; 
252 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(2,int) 	 
253 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier) 	 Specifier->int 
254 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(27,<ID>) 	 
255 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(27,<ID>)(43,=) 	 
256 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(27,<ID>)(43,=)(30,<INT>) 	 
257 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(27,<ID>)(43,=)(75,Exp) 	 Exp-><INT> 
258 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(28,Dec) 	 Dec-><ID> = Exp 
259 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(21,Specifier)(28,Dec)(44,;) 	 
260 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def) 	 Def->Specifier Dec ; 
261 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(2,int) 	 
262 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier) 	 Specifier->int 
263 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(27,<ID>) 	 
264 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(27,<ID>)(43,=) 	 
265 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(27,<ID>)(43,=)(30,<INT>) 	 
266 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(27,<ID>)(43,=)(75,Exp) 	 Exp-><INT> 
267 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(28,Dec) 	 Dec-><ID> = Exp 
268 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(21,Specifier)(28,Dec)(44,;) 	 
269 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(23,Def) 	 Def->Specifier Dec ; 
270 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(23,Def)(41,DefList) 	 DefList->@ 
271 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(23,Def)(41,DefList) 	 DefList->Def DefList 
272 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(23,Def)(41,DefList) 	 DefList->Def DefList 
273 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList) 	 DefList->Def DefList 
274 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>) 	 
275 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(46,=) 	 
276 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop) 	 Assignop->= 
277 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop)(29,<ID>) 	 
278 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> 
279 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp) 	 Exp-><ID> Assignop Exp 
280 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(63,+) 	 
281 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop) 	 Aritop->+ 
282 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop)(29,<ID>) 	 
283 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(73,Aritop)(87,Exp) 	 Exp-><ID> 
284 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp) 	 Exp->Exp Aritop Exp 
285 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(38,Exp)(62,;) 	 
286 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt) 	 Stmt->Exp ; 
287 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>) 	 
288 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(46,=) 	 
289 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop) 	 Assignop->= 
290 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>) 	 
291 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,() 	 
292 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck) 	 CallFunCheck->@ 
293 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(89,<ID>) 	 
294 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp) 	 Exp-><ID> 
295 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,) 	 
296 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(89,<ID>) 	 
297 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp) 	 Exp-><ID> 
298 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,) 	 
299 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>) 	 
300 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,() 	 
301 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,()(112,CallFunCheck) 	 CallFunCheck->@ 
302 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,()(112,CallFunCheck)(89,<ID>) 	 
303 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,()(112,CallFunCheck)(93,Exp) 	 Exp-><ID> 
304 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,()(112,CallFunCheck)(121,Args) 	 Args->Exp 
305 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(89,<ID>)(102,()(112,CallFunCheck)(121,Args)(126,)) 	 
306 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(93,Exp) 	 Exp-><ID> ( CallFunCheck Args ) 
307 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(93,Exp)(105,,)(115,Args) 	 Args->Exp 
308 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(93,Exp)(105,,)(115,Args) 	 Args->Exp , Args 
309 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(94,Args) 	 Args->Exp , Args 
310 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(29,<ID>)(45,()(76,CallFunCheck)(94,Args)(108,)) 	 
311 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(29,<ID>)(51,Assignop)(77,Exp) 	 Exp-><ID> ( CallFunCheck Args ) 
312 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(38,Exp) 	 Exp-><ID> Assignop Exp 
313 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(38,Exp)(62,;) 	 
314 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt) 	 Stmt->Exp ; 
315 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(33,return) 	 
316 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(33,return)(30,<INT>) 	 
317 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(33,return)(57,Exp) 	 Exp-><INT> 
318 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(33,return)(57,Exp)(84,;) 	 
319 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt) 	 Stmt->return Exp ; 
320 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->@ 
321 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
322 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(37,Stmt)(61,StmtList) 	 StmtList->Stmt StmtList 
323 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList) 	 StmtList->Stmt StmtList 
324 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(14,Block_m)(17,{)(22,DefList)(36,StmtList)(60,}) 	 
325 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block) 	 Block->Block_m { DefList StmtList } 
326 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(10,FunDec)(13,Block)(16,ExitFunTable_m) 	 ExitFunTable_m->@ 
327 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier FunDec Block ExitFunTable_m 
328 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(8,ExtDefList) 	 ExtDefList->@ 
329 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(6,ExtDef)(8,ExtDefList) 	 ExtDefList->ExtDef ExtDefList 
330 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(8,ExtDefList) 	 ExtDefList->ExtDef ExtDefList 
331 	 (0,#)(6,ExtDef)(6,ExtDef)(8,ExtDefList) 	 ExtDefList->ExtDef ExtDefList 
332 	 (0,#)(6,ExtDef)(8,ExtDefList) 	 ExtDefList->ExtDef ExtDefList 
333 	 (0,#)(5,ExtDefList) 	 ExtDefList->ExtDef ExtDefList 
334 	 (0,#)(4,Program) 	 Program->ExtDefList 
